target_desc	target_id
pineapple juice, canned, unsweetened, with added ascorbic acid	9409
pineapple, raw, traditional varieties	9429
pineapple, raw, extra sweet variety	9430
dill weed, dried	842
dill, raw	45
spices, dill seed	2016
spices, dill weed, dried	2017
dill weed, fresh	2045
custard-apple, (bullock's-heart), raw	9086
celery, raw	15
spices, celery seed	2007
celeriac, raw	11141
celeriac, cooked, boiled, drained, without salt	11142
celery, cooked, boiled, drained, without salt	11144
celeriac, cooked, boiled, drained, with salt	11763
celery, cooked, boiled, drained, with salt	11764
celery flakes, dried	44055
nut, pea, dried	193
nut, pea, oilroasted and salted	194
peanut butter	195
peanut oil	859
oil, peanut, salad or cooking	4042
peanuts, all types, raw	16087
peanuts, all types, cooked, boiled, with salt	16088
peanuts, all types, oil-roasted, with salt	16089
peanuts, all types, dry-roasted, with salt	16090
peanuts, spanish, raw	16091
peanuts, spanish, oil-roasted, with salt	16092
peanuts, valencia, raw	16093
peanuts, valencia, oil-roasted, with salt	16094
peanuts, virginia, raw	16095
peanuts, virginia, oil-roasted, with salt	16096
peanut butter, chunk style, with salt	16097
peanut butter, smooth style, with salt	16098
peanut flour, defatted	16099
peanut flour, low fat	16100
peanut spread, reduced sugar	16149
peanut butter, smooth, reduced fat	16150
peanut butter, smooth, vitamin and mineral fortified	16155
peanut butter, chunky, vitamin and mineral fortified	16156
usda commodity, peanut butter, smooth	16167
peanuts, all types, oil-roasted, without salt	16389
peanuts, all types, dry-roasted, without salt	16390
peanuts, spanish, oil-roasted, without salt	16392
peanuts, valencia, oil-roasted, without salt	16394
peanuts, virginia, oil-roasted, without salt	16396
peanut butter, chunk style, without salt	16397
peanut butter, smooth style, without salt	16398
peanut butter with omega-3, creamy	16399
mcdonald's, peanuts (for sundaes)	21337
peanut butter, reduced sodium	42291
burdock root, raw	11104
burdock root, cooked, boiled, drained, without salt	11105
burdock root, cooked, boiled, drained, with salt	11747
horse-radish, raw	208
horseradish, prepared	2055
spices, tarragon, dried	2041
asparagus, all types, raw	8
asparagus, canned	9
asparagus, green, raw	815
asparagus, white, raw	816
asparagus, raw	11011
asparagus, cooked, boiled, drained	11012
asparagus, canned, regular pack, solids and liquids	11013
asparagus, canned, drained solids	11015
asparagus, frozen, unprepared	11018
asparagus, frozen, cooked, boiled, drained, without salt	11019
asparagus, cooked, boiled, drained, with salt	11705
asparagus, canned, no salt added, solids and liquids	11707
asparagus, frozen, cooked, boiled, drained, with salt	11709
oat bran, danish	1271
oats, rolled, average values	530
oats, rolled, enriched	71
oats, rolled, not enriched	1299
oil, oat	4588
oat bran, raw	20033
oat bran, cooked	20034
oat flour, partially debranned	20132
carambola, raw	630
carambola, (starfruit), raw	9060
brazil nuts	197
nuts, brazilnuts, dried, unblanched	12078
beets, raw	11080
beets, cooked, boiled, drained	11081
beets, canned, regular pack, solids and liquids	11082
beets, canned, drained solids	11084
beet greens, raw	11086
beet greens, cooked, boiled, drained, without salt	11087
beets, harvard, canned, solids and liquids	11605
beets, pickled, canned, solids and liquids	11609
beets, cooked, boiled. drained, with salt	11734
beets, canned, no salt added, solids and liquids	11735
beet greens, cooked, boiled, drained, with salt	11736
borage, raw	11613
borage, cooked, boiled, drained, without salt	11614
borage, cooked, boiled, drained, with salt	11737
mustard greens, raw	11270
mustard greens, cooked, boiled, drained, without salt	11271
mustard greens, frozen, unprepared	11272
mustard greens, frozen, cooked, boiled, drained, without salt	11273
mustard greens, cooked, boiled, drained, with salt	11799
mustard greens, frozen, cooked, boiled, drained, with salt	11800
cabbage, mustard, salted	43144
swede, raw	134
rutabagas, raw	11435
rutabagas, cooked, boiled, drained, without salt	11436
rutabagas, cooked, boiled, drained, with salt	11851
oil, rape seed (low eruca acid content)	1095
oil, rape seed (no eruca acid)	1100
cabbage, red, canned	235
cabbage, red, canned, sugar not added	825
cabbage, red, raw	234
cabbage, spring, raw	275
cabbage, white, raw	88
cabbage, raw	11109
cabbage, cooked, boiled, drained, without salt	11110
cabbage, red, cooked, boiled, drained, without salt	11113
cabbage, savoy, cooked, boiled, drained, without salt	11115
kale, raw	11233
sauerkraut, canned, solids and liquids	11439
cabbage, common (danish, domestic, and pointed types), freshly harvest, raw	11749
cabbage, common (danish, domestic, and pointed types), stored, raw	11750
cabbage, common, cooked, boiled, drained, with salt	11751
cabbage, red, cooked, boiled, drained, with salt	11752
cabbage, savoy, cooked, boiled, drained, with salt	11753
cabbage, napa, cooked	11970
sauerkraut, canned, low sodium	43350
cauliflower, all varieties, raw	17
cauliflower, danish, raw	795
cauliflower, frozen	829
cauliflower, imported, raw	796
cauliflower, raw	11135
cauliflower, cooked, boiled, drained, without salt	11136
cauliflower, frozen, unprepared	11137
cauliflower, frozen, cooked, boiled, drained, without salt	11138
cauliflower, cooked, boiled, drained, with salt	11761
cauliflower, frozen, cooked, boiled, drained, with salt	11762
cauliflower, green, raw	11965
cauliflower, green, cooked, no salt added	11967
cauliflower, green, cooked, with salt	11968
brussels sprout, frozen	226
brussels sprouts, automn (october to december), raw	822
brussels sprouts, raw	225
brussels sprouts, winter (january to april), raw	823
brussels sprouts, cooked, boiled, drained, without salt	11099
brussels sprouts, frozen, unprepared	11100
brussels sprouts, frozen, cooked, boiled, drained, without salt	11101
brussels sprouts, cooked, boiled, drained, with salt	11745
brussels sprouts, frozen, cooked, boiled, drained, with salt	11746
kohlrabi, raw	660
kohlrabi, cooked, boiled, drained, without salt	11242
kohlrabi, cooked, boiled, drained, with salt	11793
broccoli, boiled	1258
broccoli, frozen	1259
broccoli, raw	21
broccoli, cooked, boiled, drained, without salt	11091
broccoli, frozen, chopped, unprepared	11092
broccoli, frozen, chopped, cooked, boiled, drained, without salt	11093
broccoli, frozen, spears, unprepared	11094
broccoli, frozen, spears, cooked, boiled, drained, without salt	11095
broccoli, leaves, raw	11739
broccoli, flower clusters, raw	11740
broccoli, stalks, raw	11741
broccoli, cooked, boiled, drained, with salt	11742
broccoli, frozen, chopped, cooked, boiled, drained, with salt	11743
broccoli, frozen, spears, cooked, boiled, drained, with salt	11744
cabbage, chinese or celery, raw	120
cabbage, japanese style, fresh, pickled	43143
turnip, raw	149
turnips, raw	11564
turnips, cooked, boiled, drained, without salt	11565
turnips, frozen, unprepared	11566
turnips, frozen, cooked, boiled, drained, without salt	11567
turnip greens, raw	11568
turnip greens, cooked, boiled, drained, without salt	11569
turnip greens, canned, solids and liquids	11570
turnip greens, frozen, unprepared	11574
turnip greens, frozen, cooked, boiled, drained, without salt	11575
turnip greens and turnips, frozen, unprepared	11576
turnip greens and turnips, frozen, cooked, boiled, drained, without salt	11577
turnips, cooked, boiled, drained, with salt	11889
turnips, frozen, cooked, boiled, drained, with salt	11890
turnip greens, cooked, boiled, drained, with salt	11891
turnip greens, frozen, cooked, boiled, drained, with salt	11892
turnip greens and turnips, frozen, cooked, boiled, drained, with salt	11893
turnip greens, canned, no salt added	43387
pigeonpeas, immature seeds, raw	11344
pigeonpeas, immature seeds, cooked, boiled, drained, without salt	11345
pigeonpeas, immature seeds, cooked, boiled, drained, with salt	11826
pigeon peas (red gram), mature seeds, raw	16101
pigeon peas (red gram), mature seeds, cooked, boiled, without salt	16102
pigeon peas (red gram), mature seeds, cooked, boiled, with salt	16402
tea, leaves	304
tea, ready-to-drink	305
tea, ready-to-drink, nestle, cool nestea ice tea lemon flavor	14137
tea, black, brewed, prepared with tap water, decaffeinated	14352
tea, instant, unsweetened, powder, decaffeinated	14353
tea, black, brewed, prepared with tap water	14355
tea, instant, sweetened with sodium saccharin, lemon-flavored, powder, decaffeinated	14356
tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder,  decaffeinated	14357
tea, instant, unsweetened, powder	14366
tea, instant, unsweetened, powder, prepared	14367
tea, instant, unsweetened, lemon-flavored, powder	14368
tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder	14370
tea, instant, sweetened with sugar, lemon-flavored, without added ascorbic acid, powder, prepared	14371
tea, instant, sweetened with sodium saccharin, lemon-flavored, powder	14375
tea, instant, sweetened with sodium saccharin, lemon-flavored, prepared	14376
tea, herb, other than chamomile, brewed	14381
tea, ready-to-drink, arizona iced tea, with lemon flavor	14475
tea, ready-to-drink, lipton brisk iced tea, with lemon flavor	14476
tea, black, brewed, prepared with distilled water	14544
tea, herb, chamomile, brewed	14545
tea, instant, sweetened with sugar, lemon-flavored, with added ascorbic acid, powder	14548
tea, ready-to-drink, unsweetened, wendy's, fast food, without ice	14601
capers, canned	2054
pepper, hot chili, canned	677
pepper, hot chili, raw	676
pepper, sweet, canned	524
pepper, sweet, green, raw	206
pepper, sweet, red, raw	207
pepper, white	1054
spices, chili powder	2009
spices, paprika	2028
spices, pepper, red or cayenne	2031
peppers, hot chili, green, canned, pods, excluding seeds, solids and liquids	11329
peppers, sweet, green, raw	11333
peppers, sweet, green, cooked, boiled, drained, without salt	11334
peppers, sweet, green, canned, solids and liquids	11335
peppers, sweet, green, frozen, chopped, unprepared	11337
peppers, sweet, green, frozen, chopped, boiled, drained, without salt	11338
peppers, sweet, green, sauteed	11339
peppers, jalapeno, canned, solids and liquids	11632
peppers, sweet, green, freeze-dried	11634
peppers, hot chili, green, raw	11670
peppers, hot chili, red, raw	11819
peppers, hot chili, red, canned, excluding seeds, solids and liquids	11820
peppers, sweet, red, raw	11821
peppers, sweet, green, cooked, boiled, drained, with salt	11822
peppers, sweet, red, cooked, boiled, drained, without salt	11823
peppers, sweet, red, cooked, boiled, drained, with salt	11824
peppers, sweet, green, frozen, chopped, cooked, boiled, drained, with salt	11825
peppers, sweet, red, canned, solids and liquids	11916
peppers, sweet, red, frozen, chopped, unprepared	11917
peppers, sweet, red, frozen, chopped, boiled, drained, without salt	11918
peppers, sweet, red, frozen, chopped, boiled, drained, with salt	11919
peppers, sweet, red, sauteed	11921
peppers, sweet, red, freeze-dried	11931
pimento, canned	11943
peppers, sweet, yellow, raw	11951
peppers, hot chile, sun-dried	11962
pepper, banana, raw	11976
peppers, serrano, raw	11977
peppers, ancho, dried	11978
peppers, jalapeno, raw	11979
peppers, chili, green, canned	11980
peppers, hungarian, raw	11981
peppers, pasilla, dried	11982
papaya, pawpaw, raw	464
papayas, raw	9226
papaya, canned, heavy syrup, drained	9228
papaya nectar, canned	9229
oil, safflower (high linoleic acid content)	1090
oil, safflower (high oleic acid content)	1091
oil, safflower, salad or cooking, linoleic, (over 70%)	4510
oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)	4511
seeds, safflower seed kernels, dried	12021
seeds, safflower seed meal, partially defatted	12022
spices, caraway seed	2005
pecans, dried	651
pecans, dry roasted	652
pecans, oil roasted	653
nuts, pecans	12142
nuts, pecans, dry roasted, without salt added	12143
nuts, pecans, oil roasted, without salt added	12144
nuts, pecans, dry roasted, with salt added	12643
nuts, pecans, oil roasted, with salt added	12644
chestnut, raw	117
peas, chick/garbanzo, dry, raw	484
chickpeas (garbanzo beans, bengal gram), mature seeds, raw	16056
chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt	16057
chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids	16058
chickpea flour (besan)	16157
chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, with salt	16357
chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained solids	16358
chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water\	16359
endive (escarole), raw	671
endive (frisee), raw	672
endive, raw	11213
chickory, raddichio, raw	673
chicory, raw	102
chicory, witloof, raw	11151
chicory greens, raw	11152
chicory roots, raw	11154
radicchio, raw	11952
spices, cinnamon, ground	2010
watermelon, raw	186
seeds, watermelon seed kernels, dried	12174
lime, raw	637
lemon juice, fresh	41
lemon peel, raw	834
lemon, raw	40
lemons, raw, without peel	9150
lemon juice, raw	9152
lemon juice, canned or bottled	9153
lemon juice, frozen, unsweetened, single strength	9154
pummelo, raw	9295
tangerine, canned	180
tangerine, raw	179
tangerines, (mandarin oranges), raw	9218
tangerines, (mandarin oranges), canned, juice pack	9219
tangerines, (mandarin oranges), canned, light syrup pack	9220
tangerine juice, raw	9221
tangerine juice, canned, sweetened	9223
tangerine juice, frozen concentrate, sweetened, undiluted	9224
tangerine juice, frozen concentrate, sweetened, diluted with 3 volume water	9225
tangerines, (mandarin oranges), canned, juice pack, drained	9383
clementines, raw	9433
marmalade, orange	1117
orange juice, canned	355
orange, raw	5
oranges, raw, all commercial varieties	9200
oranges, raw, california, valencias	9201
oranges, raw, navels	9202
oranges, raw, florida	9203
oranges, raw, with peel	9205
orange juice, raw	9206
orange juice, canned, unsweetened	9207
orange juice, chilled, includes from concentrate	9209
orange juice, chilled, includes from concentrate, fortified with calcium and vitamin d	9210
orange juice, chilled, includes from concentrate, fortified with calcium	9211
orange juice, frozen concentrate, unsweetened, undiluted	9214
orange juice, frozen concentrate, unsweetened, diluted with 3 volume water	9215
orange peel, raw	9216
coffee bean, roasted, ground	103
coffee, beverage	105
coffee, instant, decaffeinated, powder	1065
coffee, instant, decaffeinated, prepared with water	1066
coffee, instant, powder	104
coffee, instant, prepared with water	1067
coffee, brewed from grounds, prepared with tap water, decaffeinated	14201
coffee, brewed, espresso, restaurant-prepared, decaffeinated	14202
coffee, instant, regular, powder, half the caffeine	14203
coffee, brewed from grounds, prepared with tap water	14209
coffee, brewed, espresso, restaurant-prepared	14210
coffee, instant, regular, powder	14214
coffee, instant, regular, prepared with water	14215
coffee, instant, decaffeinated, powder, prepared with water	14219
coffee, instant, with sugar, mocha-flavor, powder	14224
coffee, instant, with sugar, cappuccino-flavor powder	14228
coffee, instant, with sugar, french-flavor, powder	14229
coffee, dry, powder, with whitener, reduced calorie	43401
coriander seed	526
coriander, leaf, dried	527
coriander, leaf, raw	1475
spices, coriander leaf, dried	2012
spices, coriander seed	2013
coriander (cilantro) leaves, raw	11165
spices, saffron	2037
melon, cantaloup, raw	641
melon, honeydew, raw	642
muskmelon, raw	185
melons, cantaloupe, raw	9181
melons, casaba, raw	9183
melons, honeydew, raw	9184
melon balls, frozen	9185
melon, banana (navajo)	35132
cucumber, large, pickled	452
cucumber, large, pickled, sugar not added	690
cucumber, raw	2
gherkin cucumber, raw	1269
gherkin, pickled	688
gherkin, pickled, sugar not added	689
cucumber, with peel, raw	11205
cucumber, peeled, raw	11206
pickles, cucumber, dill or kosher dill	11937
pickles, cucumber, sweet (includes bread and butter pickles)	11940
pickles, cucumber, sour	11941
pickles, cucumber, sour, low sodium	11946
pickles, cucumber, dill, low sodium	11947
pickles, cucumber, sweet, low sodium (includes bread and butter pickles)	11948
pumpkin, canned	62
pumpkin, raw	61
squash, all varieties, raw	470
squash, zucchini, raw	402
pumpkin flowers, raw	11416
pumpkin flowers, cooked, boiled, drained, without salt	11417
pumpkin leaves, raw	11418
pumpkin leaves, cooked, boiled, drained, without salt	11419
pumpkin, cooked, boiled, drained, without salt	11423
pumpkin, canned, without salt	11424
pumpkin pie mix, canned	11426
squash, summer, crookneck and straightneck, raw	11467
squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt	11468
squash, summer, crookneck and straightneck, canned, drained, solid, without salt	11471
squash, summer, crookneck and straightneck, frozen, unprepared	11473
squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt	11474
squash, summer, scallop, raw	11475
squash, summer, scallop, cooked, boiled, drained, without salt	11476
squash, summer, zucchini, includes skin, raw	11477
squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt	11478
squash, summer, zucchini, includes skin, frozen, unprepared	11479
squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt	11480
squash, summer, zucchini, italian style, canned	11481
squash, winter, spaghetti, raw	11492
squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt	11493
squash, summer, all varieties, raw	11641
squash, summer, all varieties, cooked, boiled, drained, without salt	11642
squash, winter, all varieties, raw	11643
squash, winter, all varieties, cooked, baked, without salt	11644
pumpkin, cooked, boiled, drained, with salt	11845
pumpkin, canned, with salt	11846
pumpkin, flowers, cooked, boiled, drained, with salt	11847
pumpkin leaves, cooked, boiled, drained, with salt	11848
squash, summer, all varieties, cooked, boiled, drained, with salt	11857
squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt	11858
squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, with salt	11859
squash, summer, scallop, cooked, boiled, drained, with salt	11860
squash, summer, zucchini, includes skin, cooked, boiled, drained, with salt	11861
squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt	11862
squash, winter, all varieties, cooked, baked, with salt	11863
squash, winter, spaghetti, cooked, boiled, drained, or baked, with salt	11870
squash, zucchini, baby, raw	11953
seeds, pumpkin and squash seed kernels, dried	12014
seeds, pumpkin and squash seed kernels, roasted, without salt	12016
seeds, pumpkin and squash seeds, whole, roasted, without salt	12163
seeds, pumpkin and squash seed kernels, roasted, with salt added	12516
seeds, pumpkin and squash seeds, whole, roasted, with salt added	12663
spices, cumin seed	2014
spices, turmeric, ground	2043
quinces, raw	624
lemon grass (citronella), raw	11972
artichoke, raw	453
artichokes, (globe or french), raw	11007
artichokes, (globe or french), cooked, boiled, drained, without salt	11008
artichokes, (globe or french), frozen, unprepared	11009
artichokes, (globe or french), frozen, cooked, boiled, drained, without salt	11010
artichokes, (globe or french), cooked, boiled, drained, with salt	11702
artichokes, (globe or french), frozen, cooked, boiled, drained, with salt	11703
carrot juice, canned	681
carrot, canned	684
carrot, raw	65
carrots, frozen	828
carrots, raw	11124
carrots, cooked, boiled, drained, without salt	11125
carrots, canned, regular pack, solids and liquids	11126
carrots, canned, regular pack, drained solids	11128
carrots, frozen, unprepared	11130
carrots, frozen, cooked, boiled, drained, without salt	11131
carrot, dehydrated	11683
carrots, cooked, boiled, drained, with salt	11757
carrots, canned, no salt added, solids and liquids	11758
carrots, canned, no salt added, drained solids	11759
carrots, frozen, cooked, boiled, drained, with salt	11760
carrots, baby, raw	11960
persimmons, japanese, raw	9263
persimmons, japanese, dried	9264
spices, cardamom	2006
loquat, raw	639
loquats, raw	9174
arugula, raw	11959
buckwheat flour	1014
buckwheat groats, raw	361
buckwheat, whole, raw	1270
buckwheat groats, roasted, dry	20009
buckwheat groats, roasted, cooked	20010
buckwheat flour, whole-groat	20011
fig, dried	52
figs, raw	632
fruit paste, figs	685
figs, canned, water pack, solids and liquids	9090
figs, canned, light syrup pack, solids and liquids	9091
figs, canned, heavy syrup pack, solids and liquids	9092
figs, canned, extra heavy syrup pack, solids and liquids	9093
figs, dried, uncooked	9094
figs, dried, stewed	9095
fennel seed	462
fennel, root, raw	853
spices, fennel seed	2018
fennel, bulb, raw	11957
marmalade, strawberry	1142
strawberries, canned	466
strawberries, frozen, sweetened, whole	468
strawberries, frozen, unsweetened	467
strawberry juice, concentrated, sugar added	1147
strawberry juice, concentrated, sugar not added	1148
strawberry, jam	1166
strawberry, raw	100
strawberries, raw	9316
strawberries, canned, heavy syrup pack, solids and liquids	9317
strawberries, frozen, sweetened, sliced	9320
beans, soy, dried	32
beansprouts, soy, canned	34
beansprouts, soy, raw	33
soya flour, full fat	155
soyabean oil, refined	271
oil, soybean, salad or cooking, (partially hydrogenated)	4034
oil, soybean, salad or cooking	4044
oil, soybean lecithin	4531
oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed	4543
oil, industrial, soy (partially hydrogenated), principal uses popcorn and flavoring vegetables	4648
oil, industrial, soy, refined, for woks and light frying	4650
oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor	4651
oil, industrial, soy ( partially hydrogenated), all purpose	4652
oil, industrial, soy (partially hydrogenated ) and soy (winterized), pourable clear fry	4653
oil, industrial, soy (partially hydrogenated ), palm, principal uses icings and fillings	4664
oil, industrial, soy, low linolenic	4699
oil, industrial, soy, ultra low linolenic	4700
oil, industrial, soy, fully hydrogenated	4701
soybeans, green, raw	11450
soybeans, green, cooked, boiled, drained, without salt	11451
soybeans, mature seeds, sprouted, raw	11452
soybeans, mature seeds, sprouted, cooked, steamed	11453
soybeans, mature seeds, sprouted, cooked, stir-fried	11454
soybeans, green, cooked, boiled, drained, with salt	11853
soybeans, mature seeds, sprouted, cooked, steamed, with salt	11923
soybeans, mature seeds, sprouted, cooked, stir-fried, with salt	11924
soybeans, mature seeds, raw	16108
soybeans, mature cooked, boiled, without salt	16109
soybeans, mature seeds, roasted, salted	16110
soybeans, mature seeds, dry roasted	16111
soy flour, full-fat, raw	16115
soy flour, full-fat, roasted	16116
soy flour, defatted	16117
soy flour, low-fat	16118
soy meal, defatted, raw	16119
soybeans, mature seeds, cooked, boiled, with salt	16409
soybeans, mature seeds, roasted, no salt added	16410
soy flour, full-fat, raw, crude protein basis (n x 6.25)	16415
soy flour, full-fat, roasted, crude protein basis (n x 6.25)	16416
soy flour, defatted, crude protein basis (n x 6.25)	16417
soy flour, low-fat, crude protein basis (n x 6.25)	16418
soy meal, defatted, raw, crude protein basis (n x 6.25)	16419
sunflower oil	273
sunflower seeds, decorticated, dried	479
oil, sunflower, linoleic (less than 60%)	4060
oil, sunflower, linoleic, (approx. 65%)	4506
oil, sunflower, linoleic, (partially hydrogenated)	4545
oil, sunflower, high oleic (70% and over)	4584
oil, industrial, mid-oleic, sunflower	4642
seeds, sunflower seed kernels, dried	12036
seeds, sunflower seed kernels, dry roasted, without salt	12037
seeds, sunflower seed kernels, oil roasted, without salt	12038
seeds, sunflower seed kernels, toasted, without salt	12039
seeds, sunflower seed butter, without salt	12040
seeds, sunflower seed flour, partially defatted	12041
seeds, sunflower seed kernels, dry roasted, with salt added	12537
seeds, sunflower seed kernels, oil roasted, with salt added	12538
seeds, sunflower seed kernels, toasted, with salt added	12539
seeds, sunflower seed butter, with salt added	12540
barley flour, raw	1015
barley groats, raw	24
barley, hulled	20004
barley, pearled, raw	20005
barley, pearled, cooked	20006
barley flour or meal	20130
barley malt flour	20131
swamp cabbage, (skunk cabbage), raw	11503
swamp cabbage, cooked, boiled, drained, without salt	11504
swamp cabbage, cooked, boiled, drained, with salt	11873
sweetpotato, raw	659
sweet potato leaves, raw	11505
sweet potato leaves, cooked, steamed, without salt	11506
sweet potato, raw, unprepared	11507
sweet potato, cooked, baked in skin, without salt	11508
sweet potato, cooked, boiled, without skin	11510
sweet potato, canned, vacuum pack	11512
sweet potato, canned, mashed	11514
sweet potato, frozen, unprepared	11516
sweet potato, frozen, cooked, baked, without salt	11517
sweet potato, canned, syrup pack, solids and liquids	11645
sweet potato, canned, syrup pack, drained solids	11647
sweet potato, cooked, candied, home-prepared	11659
