input_id	input_desc
8286	cereals ready-to-eat, kellogg, kellogg's mueslix
11510	sweet potato, cooked, boiled, without skin
11398	potato puffs, frozen, unprepared
4016	salad dressing, sesame seed dressing, regular
8019	cereals ready-to-eat, general mills, corn chex
8013	cereals ready-to-eat, general mills, cheerios
15149	crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)
15121	fish, tuna, light, canned in water, drained solids
11945	pickle relish, sweet
11313	peas, green, frozen, cooked, boiled, drained, without salt
11131	carrots, frozen, cooked, boiled, drained, without salt
11093	broccoli, frozen, chopped, cooked, boiled, drained, without salt
42161	bologna, beef, low fat
9003	apples, raw, with skin (includes foods for usda's food distribution program)
20081	wheat flour, white, all-purpose, enriched, bleached
18369	leavening agents, baking powder, double-acting, sodium aluminum sulfate
18079	bread, crumbs, dry, grated, plain
11821	peppers, sweet, red, raw
11429	radishes, raw
8049	cereals ready-to-eat, quaker, quaker oat life, plain
19201	puddings, vanilla, ready-to-eat
19183	puddings, chocolate, ready-to-eat
18140	cake, yellow, commercially prepared, with chocolate frosting, in-store bakery
18096	cake, chocolate, commercially prepared with chocolate frosting, in-store bakery
42265	cereals ready-to-eat, post, great grains, raisin, date & pecan
11527	tomatoes, green, raw
19280	frozen novelties, ice type, lime
16034	beans, kidney, red, mature seeds, canned, solids and liquids
14209	beverages, coffee, brewed, prepared with tap water
11508	sweet potato, cooked, baked in skin, flesh, without salt
12117	nuts, coconut milk, raw (liquid expressed from grated meat and water)
42135	whipped topping, frozen, low fat
1240	ice cream cone, chocolate covered, with nuts, flavors other than chocolate
19165	cocoa, dry powder, unsweetened
11038	lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt
14096	alcoholic beverage, wine, table, red
14121	beverages, carbonated, club soda
9153	lemon juice from concentrate, canned or bottled
16072	lima beans, large, mature seeds, cooked, boiled, without salt
42141	cream substitute, liquid, light
9020	applesauce, canned, sweetened, without salt
9071	cherries, sweet, canned, water pack, solids and liquids
42186	frozen yogurts, chocolate
43276	cheese spread, cream cheese base
9279	plums, raw
19334	sugars, brown
11135	cauliflower, raw
11732	beans, snap, yellow, frozen, cooked, boiled, drained, without salt
8087	cereals ready-to-eat, general mills, multi-grain cheerios
7022	frankfurter, beef, unheated
2046	mustard, prepared, yellow
11935	catsup
14037	alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof
10183	pork, cured, ham, boneless, extra lean and regular, roasted
10136	pork, cured, ham, boneless, regular (approximately 11% fat), roasted
10917	pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted
10922	pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted
10928	pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted
11253	lettuce, green leaf, raw
11439	sauerkraut, canned, solids and liquids
11364	potatoes, baked, skin, without salt
9218	tangerines, (mandarin oranges), raw
19081	candies, sweet chocolate
19905	candies, chocolate, dark, nfs (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)
12695	nuts, almond butter, plain, with salt added
13327	beef, variety meats and by-products, liver, cooked, pan-fried
11300	peas, edible-podded, raw
19312	pie fillings, apple, canned
14352	beverages, tea, black, brewed, prepared with tap water, decaffeinated
4703	salad dressing, honey mustard, regular
11252	lettuce, iceberg (includes crisphead types), raw
14106	alcoholic beverage, wine, table, white
13893	beef, round, top round steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled
6008	soup, beef broth or bouillon canned, ready-to-serve
11125	carrots, cooked, boiled, drained, without salt
9236	peaches, yellow, raw
1151	milk, nonfat, fluid, without added vitamin a and vitamin d (fat free or skim)
2030	spices, pepper, black
11943	pimento, canned
18363	tortillas, ready-to-bake or -fry, corn
9152	lemon juice, raw
16103	refried beans, canned, traditional style
18133	cake, sponge, commercially prepared
19230	frostings, vanilla, creamy, ready-to-eat
14028	beverages, whiskey sour mix, bottled
21304	fast food, pizza chain, 14" pizza, meat and vegetable topping, regular crust
14003	alcoholic beverage, beer, regular, all
21301	fast food, pizza chain, 14" pizza, cheese topping, thin crust
14555	water, bottled, generic
2055	horseradish, prepared
4639	salad dressing, ranch dressing, regular
18372	leavening agents, baking soda
2052	vanilla extract, imitation, no alcohol
19080	candies, semisweet chocolate
19297	jams and preserves
21302	fast food, pizza chain, 14" pizza, pepperoni topping, regular crust
19134	candies, milk chocolate, with rice cereal
19120	candies, milk chocolate
18255	doughnuts, yeast-leavened, glazed, enriched (includes honey buns)
9184	melons, honeydew, raw
11435	rutabagas, raw
10062	pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw
10949	pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw
9016	apple juice, canned or bottled, unsweetened, without added ascorbic acid
8220	cereals ready-to-eat, quaker, low fat 100% natural granola with raisins
8218	cereals ready-to-eat, quaker, quaker 100% natural granola with oats, wheat, honey, and raisins
8054	cereals ready-to-eat, quaker, 100% natural granola, oats, wheat and honey
18170	cookies, fig bars
16398	peanut butter, smooth style, without salt
16149	peanut spread, reduced sugar
9087	dates, deglet noor
9132	grapes, red or green (european type, such as thompson seedless), raw
7072	salami, dry or hard, pork, beef
21138	fast foods, potato, french fried in vegetable oil
16098	peanut butter, smooth style, with salt (includes foods for usda's food distribution program)
19300	jellies
4017	salad dressing, thousand island, commercial, regular
14651	beverages, fruit juice drink, greater than 3% juice, high vitamin c
11179	corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt
18173	cookies, graham crackers, plain or honey (includes cinnamon)
19116	candies, marshmallows
18264	muffins, english, wheat
19337	sweeteners, tabletop, aspartame, equal, packets
7050	mortadella, beef, pork
4610	margarine, regular, 80% fat, composite, stick, with salt
1129	egg, whole, cooked, hard-boiled
2003	spices, basil, dried
11165	coriander (cilantro) leaves, raw
1205	cream substitute, flavored, liquid
36602	restaurant, chinese, fried rice, without meat
9130	grape juice, canned or bottled, unsweetened, with added ascorbic acid
21124	fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato
14147	beverages, carbonated, cola, without caffeine
9298	raisins, dark, seedless (includes foods for usda's food distribution program)
22955	egg rolls, vegetable, frozen, prepared
9160	lime juice, raw
9042	blackberries, raw
18029	bread, french or vienna (includes sourdough)
19002	snacks, beef jerky, chopped and formed
16070	lentils, mature seeds, cooked, boiled, without salt
4053	oil, olive, salad or cooking
2048	vinegar, cider
12016	seeds, pumpkin and squash seed kernels, roasted, without salt
18213	cookies, vanilla wafers, higher fat
18230	crackers, standard snack-type, sandwich, with cheese filling
9266	pineapple, raw, all varieties
11603	yambean (jicama), raw
6972	sauce, tomato chili sauce, bottled, with salt
2044	basil, fresh
12147	nuts, pine nuts, dried
9181	melons, cantaloupe, raw
14296	beverages, lemonade-flavor drink, powder
13912	beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8" fat, choice, cooked, grilled
23197	beef, rib eye steak, boneless, lip-on, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, grilled
13959	beef, round, top round steak, boneless, separable lean and fat, trimmed to 0" fat, all grades, cooked, grilled
13451	beef, top sirloin, steak, separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled
16112	miso
11445	seaweed, kelp, raw
11269	mushrooms, shiitake, cooked, without salt
15018	fish, cod, atlantic, dried and salted
16127	tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)
18246	danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)
9032	apricots, dried, sulfured, uncooked
14006	alcoholic beverage, beer, light
16057	chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt
12166	seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)
1035	cheese, provolone
7028	ham, sliced, pre-packaged, deli meat (96%fat free, water added)
6053	soup, cream of potato, canned, condensed
8045	cereals ready-to-eat, general mills, honey nut cheerios
8069	cereals ready-to-eat, kellogg, kellogg's frosted flakes
18319	pie, fried pies, fruit
4058	oil, sesame, salad or cooking
14416	beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine
19083	candies, sweet chocolate coated fondant
13382	beef, chuck, blade roast, separable lean only, trimmed to 0" fat, all grades, cooked, braised
14214	beverages, coffee, instant, regular, powder
18064	bread, wheat
18964	cinnamon buns, frosted (includes honey buns)
9200	oranges, raw, all commercial varieties
19868	sweeteners, tabletop, sucralose, splenda packets
4613	margarine-like, vegetable oil spread, 60% fat, tub, with salt
4694	margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin d
9443	juice, apple and grape blend, with added ascorbic acid
20011	buckwheat flour, whole-groat
9150	lemons, raw, without peel
43158	sweeteners, tabletop, saccharin (sodium saccharin)
20083	wheat flour, white, bread, enriched
18204	cookies, sugar, commercially prepared, regular (includes vanilla)
11257	lettuce, red leaf, raw
4120	salad dressing, french dressing, commercial, regular
18326	pie, pumpkin, commercially prepared
18356	sweet rolls, cinnamon, commercially prepared with raisins
11209	eggplant, raw
15083	fish, salmon, pink, raw
18258	muffins, english, plain, enriched, with ca prop (includes sourdough)
21227	pizza, meat and vegetable topping, rising crust, frozen, cooked
9328	maraschino cherries, canned, drained
43212	bacon bits, meatless
43015	salad dressing, caesar dressing, regular
18324	pie, pecan, commercially prepared
19132	candies, milk chocolate, with almonds
10089	pork, fresh, spareribs, separable lean and fat, cooked, braised
11937	pickles, cucumber, dill or kosher dill
4114	salad dressing, italian dressing, commercial, regular
12109	nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged
9143	guava sauce, cooked
19279	candies, milk chocolate coated coffee beans
16147	veggie burgers or soyburgers, unprepared
19125	chocolate-flavored hazelnut spread
18151	cookies, brownies, commercially prepared
19226	frostings, chocolate, creamy, ready-to-eat
11056	beans, snap, green, canned, regular pack, drained solids
16033	beans, kidney, red, mature seeds, cooked, boiled, without salt
20077	wheat bran, crude
9302	raspberries, raw
9426	candied fruit
6019	soup, chicken noodle, canned, condensed
11043	mung beans, mature seeds, sprouted, raw
16129	tofu, fried
16390	peanuts, all types, dry-roasted, without salt
6179	sauce, fish, ready-to-serve
14151	beverages, carbonated, low calorie, other than cola or pepper, with aspartame, contains caffeine
11977	peppers, serrano, raw
9209	orange juice, chilled, includes from concentrate
18360	taco shells, baked
18971	bread, potato
11367	potatoes, boiled, cooked without skin, flesh, without salt
23590	beef, round, bottom round , roast, separable lean only, trimmed to 1/8" fat, select, cooked, roasted
11547	tomato products, canned, puree, without salt added
18243	croutons, seasoned
14146	beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine
6071	soup, vegetable beef, canned, condensed
14143	beverages, carbonated, low calorie, other than cola or pepper,  without caffeine
18214	crackers, cheese, regular
10027	pork, fresh, loin, whole, separable lean only, cooked, roasted
4539	salad dressing, blue or roquefort cheese dressing, commercial, regular
6030	soup, clam chowder, new england, canned, condensed
15230	mollusks, octopus, common, cooked, moist heat
19107	candies, hard
13892	beef, round, top round, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, braised
6175	sauce, hoisin, ready-to-serve
18127	cake, snack cakes, creme-filled, chocolate with frosting
9139	guavas, common, raw
9004	apples, raw, without skin
9112	grapefruit, raw, pink and red, all areas
12104	nuts, coconut meat, raw
16139	soymilk, original and vanilla, with added calcium, vitamins a and d
20013	bulgur, cooked
19039	snacks, popcorn, caramel-coated, without peanuts
42116	creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie
43016	salad dressing, coleslaw
14057	alcoholic beverage, wine, dessert, sweet
9252	pears, raw
6192	split pea soup, canned, reduced sodium, prepared with water or ready-to serve
16017	beans, black turtle, mature seeds, cooked, boiled, without salt
19438	snacks, kellogg, kellogg's rice krispies treats squares
4679	oil, pam cooking spray, original
19150	candies, reese's peanut butter cups
13345	beef, cured, breakfast strips, cooked
6040	soup, minestrone, canned, condensed
25045	formulated bar, high fiber, chewy, oats and chocolate
20137	quinoa, cooked
14136	beverages, carbonated, ginger ale
11959	arugula, raw
18291	pancakes, plain, dry mix, incomplete (includes buttermilk)
9226	papayas, raw
14201	beverages, coffee, brewed, prepared with tap water, decaffeinated
4018	salad dressing, mayonnaise type, regular, with salt
18001	bagels, plain, enriched, with calcium propionate (includes onion, poppy, sesame)
8037	cereals ready-to-eat, granola, homemade
18274	muffins, blueberry, commercially prepared (includes mini-muffins)
7089	sausage, italian, pork, mild, cooked, pan-fried
23570	beef, ground, 85% lean meat / 15% fat, crumbles, cooked, pan-browned
1002	butter, whipped, with salt
19147	candies, peanut bar
9409	pineapple juice, canned or bottled, unsweetened, with added ascorbic acid
9070	cherries, sweet, raw
1208	cheese, provolone, reduced fat
9191	nectarines, raw
4601	butter, light, stick, with salt
14460	beverages, pepsico quaker, gatorade, g performance o 2, ready-to-drink.
6963	fish broth
15192	fish, cod, pacific, cooked, dry heat (may contain additives to retain moisture)
11352	potatoes, flesh and skin, raw
10935	pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted
10185	pork, cured, ham, extra lean and regular, canned, roasted
11270	mustard greens, raw
20033	oat bran, raw
1230	milk, buttermilk, fluid, whole
19304	molasses
25040	snacks, vegetable chips, made from garden vegetables
25030	snacks, vegetable chips, hain celestial group, terra chips
7013	bratwurst, pork, cooked
1251	cheese, mexican blend
11161	collards, raw
42055	beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame
18967	bread, white wheat
14119	beverages, mixed vegetable and fruit juice drink, with added nutrients
18231	crackers, standard snack-type, sandwich, with peanut butter filling
6128	soup, chicken noodle, dry, mix
22957	turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved
19141	candies, mars snackfood us, m&m's milk chocolate candies
15175	mollusks, squid, mixed species, raw
20118	noodles, flat, crunchy, chinese restaurant
19364	toppings, butterscotch or caramel
25031	formulated bar, zone perfect classic crunch bar, mixed flavors
18210	cookies, vanilla sandwich with creme filling
8001	cereals ready-to-eat, kellogg, kellogg's all-bran original
15088	fish, sardine, atlantic, canned in oil, drained solids with bone
6583	soup, ramen noodle, any flavor, dry
7919	sausage, turkey, breakfast links, mild, raw
18349	rolls, french
8393	cereals ready-to-eat, kashi golean
19015	snacks, granola bars, hard, plain
8318	cereals ready-to-eat, kellogg, kellogg's smart start strong heart antioxidants cereal
14157	beverages, carbonated, root beer
18041	bread, pita, white, enriched
8067	cereals ready-to-eat, kellogg, kellogg's special k
22954	egg rolls, chicken, refrigerated, heated
27050	sauce, sweet and sour, ready-to-serve
20113	noodles, chinese, chow mein
27001	soup, hot and sour, chinese restaurant
36619	restaurant, chinese, kung pao chicken
23612	beef, chuck, arm pot roast, separable lean only, trimmed to 1/8" fat, choice, raw
19156	candies, mars snackfood us, starburst fruit chews, original fruits
19068	candies, nestle, bit-o'-honey candy chews
19294	fruit butters, apple
23606	beef, short loin, top loin, steak, separable lean only, trimmed to 1/8" fat, all grades, cooked, broiled
23100	beef, rib eye steak, boneless, lip-on, separable lean only, trimmed to 1/8" fat, all grades, cooked, grilled
13491	beef, round, top round steak, boneless, separable lean only, trimmed to 0" fat, all grades, cooked, grilled
13454	beef, top sirloin, steak, separable lean only, trimmed to 0" fat, all grades, cooked, broiled
15019	fish, cod, pacific, raw (may have been previously frozen)
9183	melons, casaba, raw
42240	cereals ready-to-eat, post, honey bunches of oats, with almonds
16006	beans, baked, canned, plain or vegetarian
11424	pumpkin, canned, without salt
10218	pork, fresh, loin, tenderloin, separable lean and fat, raw
10951	pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw
18080	bread, sticks, plain
12220	seeds, flaxseed
25051	snacks, clif bar, mixed flavors
9159	limes, raw
18370	leavening agents, baking powder, double-acting, straight phosphate
1036	cheese, ricotta, whole milk
8543	cereals ready-to-eat, kellogg's, special k vanilla almond
9263	persimmons, japanese, raw
18955	bread, pan dulce, sweet yeast bread
14630	beverages, energy drink, rockstar, sugar free
9019	applesauce, canned, unsweetened, without added ascorbic acid (includes foods for usda's food distribution program)
8214	cereals ready-to-eat, quaker, oatmeal squares
18968	bagels, wheat
18147	cake, cheesecake, commercially prepared
14347	shake, fast food, vanilla
1223	protein supplement, milk based, muscle milk, powder
18239	croissants, butter
6015	soup, chicken, canned, chunky, ready-to-serve
22904	chili con carne with beans, canned entree
15261	fish, tilapia, raw
21300	fast food, pizza chain, 14" pizza, cheese topping, thick crust
18972	bread, cheese
18185	cookies, peanut butter, commercially prepared, regular
15147	crustaceans, lobster, northern, raw
9148	kiwifruit, green, raw
15080	fish, salmon, chum, canned, drained solids with bone
43369	beverages, chocolate-flavored drink, whey and milk based
43026	syrups, sugar free
19078	baking chocolate, unsweetened, squares
19074	candies, caramels
19099	candies, fondant, prepared-from-recipe
16089	peanuts, all types, oil-roasted, with salt
2042	spices, thyme, dried
21303	fast food, pizza chain, 14" pizza, pepperoni topping, thick crust
19152	candies, rolo caramels in milk chocolate
25052	snacks, granola bar, quaker, chewy, 90 calorie bar
43595	breakfast bar, corn flake crust with fruit
42139	granola bar, soft, milk chocolate coated, peanut butter
14156	beverages, energy drink, red bull, sugar free, with added caffeine, niacin, pantothenic acid, vitamins b6 and b12
8039	cereals ready-to-eat, post, grape-nuts flakes
8029	cereals ready-to-eat, post bran flakes
42193	salad dressing, mayonnaise-like, fat-free
9291	plums, dried (prunes), uncooked
10093	pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked
17134	veal, sirloin, separable lean and fat, raw
10153	pork, cured, ham, whole, separable lean only, roasted
12632	nuts, macadamia nuts, dry roasted, with salt added
42117	imitation cheese, american or cheddar, low cholesterol
11403	potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated
8106	cereals, cream of wheat, instant, dry
1185	parmesan cheese topping, fat free
9021	apricots, raw
19871	frozen novelties, no sugar added, fudgsicle pops
25055	snacks, granola bar, general mills, nature valley, chewy trail mix
9211	orange juice, chilled, includes from concentrate, with added calcium
9210	orange juice, chilled, includes from concentrate, with added calcium and vitamin d
9096	fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids
9017	apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid
9400	apple juice, canned or bottled, unsweetened, with added ascorbic acid
18081	bread, stuffing, dry mix
7007	bologna, beef
18158	cookies, chocolate chip, commercially prepared, regular, lower fat
13148	beef, rib, shortribs, separable lean and fat, choice, cooked, braised
11308	peas, green (includes baby and lesuer types), canned, drained solids, unprepared
1199	cream, half and half, fat free
11976	pepper, banana, raw
22916	lasagna with meat & sauce, frozen entree
18039	bread, oatmeal
4641	salad dressing, mayonnaise, light
4704	salad dressing, poppyseed, creamy
19176	gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water
18301	pie, apple, commercially prepared, enriched flour
43214	butter replacement, without fat, powder
18120	cake, pound, commercially prepared, butter (includes fresh and frozen)
22973	corn dogs, frozen, prepared
6068	soup, vegetarian vegetable, canned, condensed
14145	beverages, carbonated, sprite, lemon-lime, without caffeine
23575	beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned
21484	fast food, pizza chain, 14" pizza, sausage topping, regular crust
18178	cookies, oatmeal, commercially prepared, regular
25056	snacks, granola bar, quaker, dipps, all flavors
25039	snacks, granola bars, quaker oatmeal to go, all flavors
15127	fish, tuna, fresh, yellowfin, raw
19128	syrups, table blends, pancake, reduced-calorie
21061	fast foods, burrito, with beans and cheese
21486	fast foods, taco with beef, cheese and lettuce, soft
19193	puddings, rice, ready-to-eat
10220	pork, fresh, ground, cooked
18060	bread, rye
16389	peanuts, all types, oil-roasted, without salt
