input_id	input_desc	target_desc	target_id
11282	onions, raw	onions, raw	11282
11124	carrots, raw	carrots, raw	11124
11297	parsley, fresh	parsley, fresh	11297
20109	noodles, egg, dry, enriched	noodles, egg, dry, enriched	20109
11174	corn, sweet, yellow, canned, cream style, regular pack	corn, sweet, yellow, canned, cream style, regular pack	11174
20121	pasta, cooked, enriched, without added salt	spaghetti, cooked, enriched, without added salt	20121
6931	sauce, pasta, spaghetti/marinara, ready-to-serve	sauce, pasta, spaghetti/marinara, ready-to-serve	6931
11584	vegetables, mixed, frozen, cooked, boiled, drained, without salt	vegetables, mixed, frozen, cooked, boiled, drained, without salt	11584
1164	cheese sauce, prepared from recipe	cheese sauce, prepared from recipe	1164
4615	shortening, vegetable, household, composite	shortening, vegetable, household, composite	4615
18375	leavening agents, yeast, baker's, active dry	leavening agents, yeast, baker's, active dry	18375
20080	wheat flour, whole-grain (includes foods for usda's food distribution program)	wheat flour, whole-grain	20080
42259	snacks, popcorn, home-prepared, oil-popped, unsalted	snacks, popcorn, home-prepared, oil-popped, unsalted	42259
7083	sausage, vienna, canned, chicken, beef, pork	sausage, vienna, canned, chicken, beef, pork	7083
11531	tomatoes, red, ripe, canned, packed in tomato juice	tomatoes, red, ripe, canned, packed in tomato juice	11531
20029	couscous, cooked	couscous, cooked	20029
11477	squash, summer, zucchini, includes skin, raw	squash, summer, zucchini, includes skin, raw	11477
11467	squash, summer, crookneck and straightneck, raw	squash, summer, crookneck and straightneck, raw	11467
18364	tortillas, ready-to-bake or -fry, flour, refrigerated	tortillas, ready-to-bake or -fry, flour, refrigerated	18364
6164	sauce, salsa, ready-to-serve	sauce, salsa, ready-to-serve	6164
6119	gravy, chicken, canned or bottled, ready-to-serve	gravy, chicken, canned, ready-to-serve	6119
18141	cake, yellow, commercially prepared, with vanilla frosting	cake, yellow, commercially prepared, with vanilla frosting	18141
11549	tomato products, canned, sauce	tomato products, canned, sauce	11549
14429	beverages, water, tap, municipal	water, tap, municipal	14429
19360	syrups, table blends, pancake, with 2% maple	syrups, table blends, pancake, with 2% maple	19360
20055	rice, white, glutinous, unenriched, cooked	rice, white, glutinous, cooked	20055
11446	seaweed, laver, raw	seaweed, laver, raw	11446
9037	avocados, raw, all commercial varieties	avocados, raw, all commercial varieties	9037
11205	cucumber, with peel, raw	cucumber, with peel, raw	11205
11674	potatoes, baked, flesh and skin, without salt	potato, baked, flesh and skin, without salt	11674
6169	sauce, ready-to-serve, pepper, tabasco	sauce, ready-to-serve, pepper, tabasco	6169
43205	beverage, instant breakfast powder, chocolate, not reconstituted	beverage, instant breakfast powder, chocolate, not reconstituted	43205
18142	cake, pudding-type, yellow, dry mix	cake, yellow, dry mix, pudding-type	18142
8031	cereals ready-to-eat, kellogg's frosted mini-wheats, big bite	cereals ready-to-eat, kellogg's frosted mini-wheats, big bite	8031
1029	cheese, mozzarella, low moisture, part-skim	cheese, mozzarella, part skim milk, low moisture	1029
18069	bread, white, commercially prepared (includes soft bread crumbs)	bread, white, commercially prepared (includes soft bread crumbs)	18069
16043	beans, pinto, mature seeds, cooked, boiled, without salt	beans, pinto, mature seeds, cooked, boiled, without salt	16043
14645	beverages, fruit flavored drink, less than 3% juice, not fortified with vitamin c	fruit flavored drink, less than 3% juice, not fortified with vitamin c	14645
6043	soup, cream of mushroom, canned, condensed	soup, cream of mushroom, canned, condensed	6043
9316	strawberries, raw	strawberries, raw	9316
9050	blueberries, raw	blueberries, raw	9050
42204	rice cake, cracker (include hain mini rice cakes)	rice cake, cracker (include hain mini rice cakes)	42204
4659	oil, industrial, coconut, confection fat, typical basis for ice cream coatings	oil, industrial, coconut, confection fat, typical basis for ice cream coatings	4659
18235	crackers, whole-wheat	crackers, whole-wheat	18235
18232	crackers, wheat, regular	crackers, wheat, regular	18232
11529	tomatoes, red, ripe, raw, year round average	tomatoes, red, ripe, raw, year round average	11529
20044	rice, white, long-grain, regular, raw, enriched	rice, white, long-grain, regular, raw, enriched	20044
2010	spices, cinnamon, ground	spices, cinnamon, ground	2010
19336	sugars, powdered	sugars, powdered	19336
18228	crackers, saltines (includes oyster, soda, soup)	crackers, saltines (includes oyster, soda, soup)	18228
18042	bread, pita, whole-wheat	bread, pita, whole-wheat	18042
11569	turnip greens, cooked, boiled, drained, without salt	turnip greens, cooked, boiled, drained, without salt	11569
11023	balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt	balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, without salt	11023
15138	crustaceans, crab, alaska king, imitation, made from surimi	crustaceans, crab, alaska king, imitation, made from surimi	15138
20134	rice noodles, cooked	rice noodles, cooked	20134
19095	ice creams, vanilla	ice creams, vanilla	19095
11008	artichokes, (globe or french), cooked, boiled, drained, without salt	artichokes, (globe or french), cooked, boiled, drained, without salt	11008
21225	pizza, cheese topping, rising crust, frozen, cooked	pizza, cheese topping, rising crust, frozen, cooked	21225
11663	seaweed, agar, dried	seaweed, agar, dried	11663
11667	seaweed, spirulina, dried	seaweed, spirulina, dried	11667
20022	cornmeal, degermed, enriched, yellow	cornmeal, degermed, enriched, yellow	20022
42187	frozen yogurts, flavors other than chocolate	frozen yogurts, flavors other than chocolate	42187
11260	mushrooms, white, raw	mushrooms, white, raw	11260
14210	beverages, coffee, brewed, espresso, restaurant-prepared	coffee, brewed, espresso, restaurant-prepared	14210
4518	oil, corn, industrial and retail, all purpose salad or cooking	oil, corn, industrial and retail, all purpose salad or cooking	4518
11233	kale, raw	kale, raw	11233
11363	potatoes, baked, flesh, without salt	potatoes, baked, flesh, without salt	11363
1211	milk, whole, 3.25% milkfat, without added vitamin a and vitamin d	milk, whole, 3.25% milkfat, without added vitamin a and vitamin d	1211
4542	fat, chicken	fat, chicken	4542
20481	wheat flour, white, all-purpose, unenriched	wheat flour, white, all-purpose, unenriched	20481
20110	noodles, egg, enriched, cooked	noodles, egg, cooked, enriched	20110
18075	bread, whole-wheat, commercially prepared	bread, whole-wheat, commercially prepared	18075
19270	ice creams, chocolate	ice creams, chocolate	19270
11109	cabbage, raw	cabbage, raw	11109
18216	crackers, crispbread, rye	crackers, crispbread, rye	18216
11080	beets, raw	beets, raw	11080
11086	beet greens, raw	beet greens, raw	11086
19088	ice creams, vanilla, light	ice creams, vanilla, light	19088
19260	ice creams, vanilla, light, no sugar added	ice creams, vanilla, light, no sugar added	19260
19047	snacks, pretzels, hard, plain, salted	snacks, pretzels, hard, plain, salted	19047
18271	ice cream cones, cake or wafer-type	ice cream cones, cake or wafer-type	18271
11172	corn, sweet, yellow, canned, whole kernel, drained solids	corn, sweet, yellow, canned, whole kernel, drained solids	11172
22900	ravioli, meat-filled, with tomato sauce or meat sauce, canned	ravioli, meat-filled, with tomato sauce or meat sauce, canned	22900
16063	cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt	cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt	16063
11493	squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt	squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt	11493
14381	beverages, tea, herb, other than chamomile, brewed	tea, herb, other than chamomile, brewed	14381
11011	asparagus, raw	asparagus, raw	11011
21299	fast food, pizza chain, 14" pizza, cheese topping, regular crust	fast food, pizza chain, 14" pizza, cheese topping, regular crust	21299
11283	onions, cooked, boiled, drained, without salt	onions, cooked, boiled, drained, without salt	11283
11334	peppers, sweet, green, cooked, boiled, drained, without salt	peppers, sweet, green, cooked, boiled, drained, without salt	11334
11261	mushrooms, white, cooked, boiled, drained, without salt	mushrooms, white, cooked, boiled, drained, without salt	11261
9193	olives, ripe, canned (small-extra large)	olives, ripe, canned (small-extra large)	9193
12037	seeds, sunflower seed kernels, dry roasted, without salt	seeds, sunflower seed kernels, dry roasted, without salt	12037
25013	snacks, fritolay, sunchips, multigrain snack, original flavor	snacks, fritolay, sunchips, multigrain snack, original flavor	25013
10862	pork, cured, bacon, pre-sliced, cooked, pan-fried	pork, cured, bacon, cooked, pan-fried	10862
14196	beverages, cocoa mix, no sugar added, powder	cocoa mix, no sugar added, powder	14196
18950	crackers, wheat, reduced fat	crackers, wheat, reduced fat	18950
8028	cereals ready-to-eat, kellogg, kellogg's all-bran complete wheat flakes	cereals ready-to-eat, kellogg, kellogg's all-bran complete wheat flakes	8028
6075	soup, beef broth or bouillon, powder, dry	soup, beef broth or bouillon, powder, dry	6075
20027	cornstarch	cornstarch	20027
42136	cream substitute, powdered, light	cream substitute, powdered, light	42136
7070	salami, cooked, turkey	salami, cooked, turkey	7070
6976	sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium	sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium	6976
11378	potatoes, mashed, dehydrated, flakes without milk, dry form	potatoes, mashed, dehydrated, flakes without milk, dry form	11378
6112	sauce, teriyaki, ready-to-serve	sauce, teriyaki, ready-to-serve	6112
21130	fast foods, onion rings, breaded and fried	fast foods, onion rings, breaded and fried	21130
11296	onion rings, breaded, par fried, frozen, prepared, heated in oven	onion rings, breaded, par fried, frozen, prepared, heated in oven	11296
8148	cereals ready-to-eat, post, shredded wheat, original spoon-size	cereals ready-to-eat, post, shredded wheat, spoon-size	8148
16081	mung beans, mature seeds, cooked, boiled, without salt	mung beans, mature seeds, cooked, boiled, without salt	16081
20030	hominy, canned, white	hominy, canned, white	20030
1082	milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d	milk, lowfat, fluid, 1% milkfat, with added vitamin a and vitamin d	1082
14557	beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients	chocolate-flavor beverage mix for milk, powder, with added nutrients	14557
15027	fish, fish sticks, frozen, prepared	fish, fish portions and sticks, frozen, preheated	15027
18157	cookies, chocolate wafers	cookies, chocolate wafers	18157
2028	spices, paprika	spices, paprika	2028
27047	sauce, salsa, verde, ready-to-serve	sauce, salsa, verde, ready-to-serve	27047
6116	gravy, beef, canned, ready-to-serve	gravy, beef, canned, ready-to-serve	6116
4021	salad dressing, italian dressing, commercial, reduced fat	salad dressing, italian dressing, reduced fat	4021
16117	soy flour, defatted	soy flour, defatted	16117
12061	nuts, almonds	nuts, almonds	12061
16087	peanuts, all types, raw	peanuts, all types, raw	16087
9079	cranberries, dried, sweetened (includes foods for usda's food distribution program)	cranberries, dried, sweetened	9079
20061	rice flour, white, unenriched	rice flour, white	20061
18272	ice cream cones, sugar, rolled-type	ice cream cones, sugar, rolled-type	18272
19348	syrups, chocolate, fudge-type	syrups, chocolate, fudge-type	19348
16090	peanuts, all types, dry-roasted, with salt	peanuts, all types, dry-roasted, with salt	16090
18347	rolls, dinner, wheat	rolls, dinner, wheat	18347
16041	beans, pink, mature seeds, cooked, boiled, without salt	beans, pink, mature seeds, cooked, boiled, without salt	16041
8090	cereals, corn grits, white, regular and quick, enriched, dry	cereals, corn grits, white, regular and quick, enriched, dry	8090
19009	snacks, kraft, cornnuts, plain	snacks, kraft, cornnuts, plain	19009
8286	cereals ready-to-eat, kellogg, kellogg's mueslix	cereals ready-to-eat, kellogg, kellogg's mueslix	8286
11510	sweet potato, cooked, boiled, without skin	sweet potato, cooked, boiled, without skin	11510
11398	potato puffs, frozen, unprepared	potato puffs, frozen, unprepared	11398
4016	salad dressing, sesame seed dressing, regular	salad dressing, sesame seed dressing, regular	4016
8019	cereals ready-to-eat, general mills, corn chex	cereals ready-to-eat, general mills corn chex	8019
8013	cereals ready-to-eat, general mills, cheerios	cereals ready-to-eat, general mills, cheerios	8013
15149	crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)	crustaceans, shrimp, mixed species, raw	15149
15121	fish, tuna, light, canned in water, drained solids	fish, tuna, light, canned in water, drained solids	15121
11945	pickle relish, sweet	pickle relish, sweet	11945
11313	peas, green, frozen, cooked, boiled, drained, without salt	peas, green, frozen, cooked, boiled, drained, without salt	11313
11131	carrots, frozen, cooked, boiled, drained, without salt	carrots, frozen, cooked, boiled, drained, without salt	11131
11093	broccoli, frozen, chopped, cooked, boiled, drained, without salt	broccoli, frozen, chopped, cooked, boiled, drained, without salt	11093
42161	bologna, beef, low fat	bologna, beef, low fat	42161
9003	apples, raw, with skin (includes foods for usda's food distribution program)	apples, raw, with skin	9003
20081	wheat flour, white, all-purpose, enriched, bleached	wheat flour, white, all-purpose, enriched, bleached	20081
18369	leavening agents, baking powder, double-acting, sodium aluminum sulfate	leavening agents, baking powder, double-acting, sodium aluminum sulfate	18369
18079	bread, crumbs, dry, grated, plain	bread crumbs, dry, grated, plain	18079
11821	peppers, sweet, red, raw	peppers, sweet, red, raw	11821
11429	radishes, raw	radishes, raw	11429
8049	cereals ready-to-eat, quaker, quaker oat life, plain	cereals ready-to-eat, quaker, quaker oat life, plain	8049
19201	puddings, vanilla, ready-to-eat	puddings, vanilla, ready-to-eat	19201
19183	puddings, chocolate, ready-to-eat	puddings, chocolate, ready-to-eat	19183
18140	cake, yellow, commercially prepared, with chocolate frosting, in-store bakery	cake, yellow, commercially prepared, with chocolate frosting, in-store bakery	18140
18096	cake, chocolate, commercially prepared with chocolate frosting, in-store bakery	cake, chocolate, commercially prepared with chocolate frosting, in-store bakery	18096
42265	cereals ready-to-eat, post, great grains, raisin, date & pecan	cereals ready-to-eat, post, great grains, raisin, date & pecan	42265
11527	tomatoes, green, raw	tomatoes, green, raw	11527
19280	frozen novelties, ice type, lime	frozen novelties, ice type, lime	19280
16034	beans, kidney, red, mature seeds, canned, solids and liquids	beans, kidney, red, mature seeds, canned, solids and liquids	16034
14209	beverages, coffee, brewed, prepared with tap water	coffee, brewed from grounds, prepared with tap water	14209
11508	sweet potato, cooked, baked in skin, flesh, without salt	sweet potato, cooked, baked in skin, without salt	11508
12117	nuts, coconut milk, raw (liquid expressed from grated meat and water)	nuts, coconut milk, raw (liquid expressed from grated meat and water)	12117
42135	whipped topping, frozen, low fat	whipped topping, frozen, low fat	42135
1240	ice cream cone, chocolate covered, with nuts, flavors other than chocolate	ice cream cone, chocolate covered, with nuts, flavors other than chocolate	1240
19165	cocoa, dry powder, unsweetened	cocoa, dry powder, unsweetened	19165
11038	lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt	lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt	11038
14096	alcoholic beverage, wine, table, red	alcoholic beverage, wine, table, red	14096
14121	beverages, carbonated, club soda	carbonated beverage, club soda	14121
9153	lemon juice from concentrate, canned or bottled	lemon juice, canned or bottled	9153
16072	lima beans, large, mature seeds, cooked, boiled, without salt	lima beans, large, mature seeds, cooked, boiled, without salt	16072
42141	cream substitute, liquid, light	cream substitute, liquid, light	42141
9020	applesauce, canned, sweetened, without salt	applesauce, canned, sweetened, without salt (includes usda commodity)	9020
9071	cherries, sweet, canned, water pack, solids and liquids	cherries, sweet, canned, water pack, solids and liquids	9071
42186	frozen yogurts, chocolate	frozen yogurts, chocolate	42186
43276	cheese spread, cream cheese base	cheese spread, cream cheese base	43276
9279	plums, raw	plums, raw	9279
19334	sugars, brown	sugars, brown	19334
11135	cauliflower, raw	cauliflower, raw	11135
11732	beans, snap, yellow, frozen, cooked, boiled, drained, without salt	beans, snap, yellow, frozen, cooked, boiled, drained, without salt	11732
8087	cereals ready-to-eat, general mills, multi-grain cheerios	cereals ready-to-eat, general mills, multi-grain cheerios	8087
7022	frankfurter, beef, unheated	frankfurter, beef, unheated	7022
2046	mustard, prepared, yellow	mustard, prepared, yellow	2046
11935	catsup	catsup	11935
14037	alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof	alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof	14037
10183	pork, cured, ham, boneless, extra lean and regular, roasted	pork, cured, ham, boneless, extra lean and regular, roasted	10183
10136	pork, cured, ham, boneless, regular (approximately 11% fat), roasted	pork, cured, ham, boneless, regular (approximately 11% fat), roasted	10136
10917	pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted	pork, cured, ham -- water added, whole, boneless, separable lean and fat, heated, roasted	10917
10922	pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted	pork, cured, ham and water product, whole, boneless, separable lean and fat, heated, roasted	10922
10928	pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted	pork, cured, ham with natural juices, whole, boneless, separable lean and fat, heated, roasted	10928
11253	lettuce, green leaf, raw	lettuce, green leaf, raw	11253
11439	sauerkraut, canned, solids and liquids	sauerkraut, canned, solids and liquids	11439
11364	potatoes, baked, skin, without salt	potatoes, baked, skin, without salt	11364
9218	tangerines, (mandarin oranges), raw	tangerines, (mandarin oranges), raw	9218
19081	candies, sweet chocolate	candies, sweet chocolate	19081
19905	candies, chocolate, dark, nfs (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)	candies, chocolate, dark, nfs (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)	19905
12695	nuts, almond butter, plain, with salt added	nuts, almond butter, plain, with salt added	12695
13327	beef, variety meats and by-products, liver, cooked, pan-fried	beef, variety meats and by-products, liver, cooked, pan-fried	13327
11300	peas, edible-podded, raw	peas, edible-podded, raw	11300
19312	pie fillings, apple, canned	pie fillings, apple, canned	19312
14352	beverages, tea, black, brewed, prepared with tap water, decaffeinated	tea, black, brewed, prepared with tap water, decaffeinated	14352
4703	salad dressing, honey mustard, regular	salad dressing, honey mustard, regular	4703
11252	lettuce, iceberg (includes crisphead types), raw	lettuce, iceberg (includes crisphead types), raw	11252
14106	alcoholic beverage, wine, table, white	alcoholic beverage, wine, table, white	14106
13893	beef, round, top round steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	beef, round, top round steak, separable lean and fat, trimmed to 1/8" fat, all grades, cooked, broiled	13893
6008	soup, beef broth or bouillon canned, ready-to-serve	soup, beef broth or bouillon canned, ready-to-serve	6008
11125	carrots, cooked, boiled, drained, without salt	carrots, cooked, boiled, drained, without salt	11125
9236	peaches, yellow, raw	peaches, raw	9236
1151	milk, nonfat, fluid, without added vitamin a and vitamin d (fat free or skim)	milk, nonfat, fluid, without added vitamin a and vitamin d (fat free or skim)	1151
2030	spices, pepper, black	spices, pepper, black	2030
11943	pimento, canned	pimento, canned	11943
18363	tortillas, ready-to-bake or -fry, corn	tortillas, ready-to-bake or -fry, corn	18363
9152	lemon juice, raw	lemon juice, raw	9152
16103	refried beans, canned, traditional style	refried beans, canned, traditional style (includes usda commodity)	16103
18133	cake, sponge, commercially prepared	cake, sponge, commercially prepared	18133
19230	frostings, vanilla, creamy, ready-to-eat	frostings, vanilla, creamy, ready-to-eat	19230
14028	beverages, whiskey sour mix, bottled	whiskey sour mix, bottled	14028
21304	fast food, pizza chain, 14" pizza, meat and vegetable topping, regular crust	fast food, pizza chain, 14" pizza, meat and vegetable topping, regular crust	21304
14003	alcoholic beverage, beer, regular, all	alcoholic beverage, beer, regular, all	14003
21301	fast food, pizza chain, 14" pizza, cheese topping, thin crust	fast food, pizza chain, 14" pizza, cheese topping, thin crust	21301
14555	water, bottled, generic	water, bottled, generic	14555
2055	horseradish, prepared	horseradish, prepared	2055
4639	salad dressing, ranch dressing, regular	salad dressing, ranch dressing, commercial, regular	4639
18372	leavening agents, baking soda	leavening agents, baking soda	18372
2052	vanilla extract, imitation, no alcohol	vanilla extract, imitation, no alcohol	2052
19080	candies, semisweet chocolate	candies, semisweet chocolate	19080
19297	jams and preserves	jams and preserves	19297
21302	fast food, pizza chain, 14" pizza, pepperoni topping, regular crust	fast food, pizza chain, 14" pizza, pepperoni topping, regular crust	21302
19134	candies, milk chocolate, with rice cereal	candies, milk chocolate, with rice cereal	19134
19120	candies, milk chocolate	candies, milk chocolate	19120
18255	doughnuts, yeast-leavened, glazed, enriched (includes honey buns)	doughnuts, yeast-leavened, glazed, enriched (includes honey buns)	18255
9184	melons, honeydew, raw	melons, honeydew, raw	9184
11435	rutabagas, raw	rutabagas, raw	11435
10062	pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw	pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw	10062
10949	pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, raw	pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw	10949
9016	apple juice, canned or bottled, unsweetened, without added ascorbic acid	apple juice, canned or bottled, unsweetened, without added ascorbic acid	9016
8220	cereals ready-to-eat, quaker, low fat 100% natural granola with raisins	cereals ready-to-eat, quaker, low fat 100% natural granola with raisins	8220
8218	cereals ready-to-eat, quaker, quaker 100% natural granola with oats, wheat, honey, and raisins	cereals ready-to-eat, quaker, quaker 100% natural granola with oats, wheat, honey, and raisins	8218
8054	cereals ready-to-eat, quaker, 100% natural granola, oats, wheat and honey	cereals ready-to-eat, quaker, 100% natural granola, oats, wheat and honey	8054
18170	cookies, fig bars	cookies, fig bars	18170
16398	peanut butter, smooth style, without salt	peanut butter, smooth style, without salt	16398
16149	peanut spread, reduced sugar	peanut spread, reduced sugar	16149
9087	dates, deglet noor	dates, deglet noor	9087
9132	grapes, red or green (european type, such as thompson seedless), raw	grapes, red or green (european type, such as thompson seedless), raw	9132
7072	salami, dry or hard, pork, beef	salami, dry or hard, pork, beef	7072
21138	fast foods, potato, french fried in vegetable oil	fast foods, potato, french fried in vegetable oil	21138
16098	peanut butter, smooth style, with salt (includes foods for usda's food distribution program)	peanut butter, smooth style, with salt	16098
19300	jellies	jellies	19300
4017	salad dressing, thousand island, commercial, regular	salad dressing, thousand island, commercial, regular	4017
14651	beverages, fruit juice drink, greater than 3% juice, high vitamin c	fruit juice drink, greater than 3% juice, high vitamin c	14651
11179	corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt	corn, sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt	11179
18173	cookies, graham crackers, plain or honey (includes cinnamon)	cookies, graham crackers, plain or honey (includes cinnamon)	18173
19116	candies, marshmallows	candies, marshmallows	19116
18264	muffins, english, wheat	english muffins, wheat	18264
19337	sweeteners, tabletop, aspartame, equal, packets	sweeteners, tabletop, aspartame, equal, packets	19337
7050	mortadella, beef, pork	mortadella, beef, pork	7050
4610	margarine, regular, 80% fat, composite, stick, with salt	margarine, regular, 80% fat, composite, stick, with salt	4610
1129	egg, whole, cooked, hard-boiled	egg, whole, cooked, hard-boiled	1129
2003	spices, basil, dried	spices, basil, dried	2003
